DOCNO,round_number,query_id,author_id,query,TEXT,QREL,KSREL,POS,DELTA,DELTA_2,DELTA_3
ROUND-2-182-DUMMY_2,2,182,DUMMY_2,quit smoking,"this is your first step to quit smoking and stopping use cigarettes
Quitting smoking is not easy but possible!
Want to quit smoking? Tired of cigarettes? start your path towards an healthier smoke free life
The first thing you need to do to get rid of cigarettes is to make an honest list of all the things you like about smoking cigarettes  and write them on one side; on the other side make a list of all the things you dislike about smoking and  cigarettes such as how smoking can interfere with your health  work  family  etc   If you are brave enough  get feedback from family and friends about things they donate like about your use of cigarettes  When the negative side outweighs the positive side  you are ready to quit",2,3,2,3,0,0
ROUND-2-182-BOT,2,182,BOT,quit smoking,"Not sure how to quit smoking cigarettes? Try our guide of 20+ ways to stop smoking and start your path towards a healthier, smoke-free life.
Make an honest list of all the things you like about smoking. Draw a line down the center of a piece of paper and write them on one side; on the other side make a list of all the things you dislike, such as how it can interfere with your health, work, family, etc., suggests Daniel Z. Lieberman, M.D., director of the lung cancer Research Center at George Washington University in Washington, D.C.
Think about the list over time, and make changes. Quitting smoking is difficult, but not impossible. When the negative side outweighs the positive side, you are ready to quit and be a non-smoker, again. :)",3,3,4,-1,0,0
ROUND-2-182-0KKNZV,2,182,0KKNZV,quit smoking,"Smoking cessation is the process of discontinuing tobacco smoking, which is addictive. Nicotine withdrawal makes the process of quitting often very prolonged and difficult stopping smoking represents the single most important step that smokers can take to enhance the length and quality of their lives and stay none-smokers. Quitting smoking is difficult taking a break from a daily Cigarettes usage is tough, but not impossible. If you'd like to give up smoking, but don't know where to begin, create a structured plan. The following steps will help you to create your own customized quit plan: Pick a Quit Date. Let Loved Ones Know You Are Quitting. Remove Reminders of Smoking such as cigarettes and matches. Identify Your Reasons to Quit Smoking - bad smell, cancer, health problems, etc. So just try it and start your path towards a healthier, smoke-free life",2,3,1,0,0,0
ROUND-3-182-ZQ22RB,3,182,ZQ22RB,quit smoking,"Not sure how to quit smoking cigarettes? Try one of these 20+ ways to stop smoking and start your path towards a healthier, smoke-free life.
Make an honest list of all the things you like about smoking.
Draw a line down the center of a piece of paper and write them on one side; on the other side make a list of all the things you dislike, such as how it can interfere with your health, work, family, etc., suggests Daniel Z. Lieberman, M.D., director of the Clinical Psychiatric Research Center at George Washington University Medical Center in Washington, D.C. Think about the list over time, and make changes. If you are brave enough, get feedback from family and friends about things they donate like about your use of cigarettes. When the negative side outweighs the positive side, you are ready to quit.",3,3,5,0,-1,0
ROUND-3-182-DUMMY_1,3,182,DUMMY_1,quit smoking,"Stop smoking cigarettes is difficult but not impossible. If you'd like to give up smoking,  but don't know where to begin, create a structured plan.
The following steps will help you to create your own customized quit plan:
Pick a Quit Date.
Let Loved Ones Know You Are Quitting.
Remove Reminders of Smoking such as cigarettes and matches.
Identify Your Reasons to stop Smoking:  bad smell, cancer, health problems, etc.
Think of a place or a person the you can go to in case you need help.",2,3,4,-1,-2,0
ROUND-3-182-DUMMY_2,3,182,DUMMY_2,quit smoking,"Want to quit smoking? Ready to drop your cigarettes and start a healthy lifestyle?
This is your first step to quit smoking and make the use of nicotine to history.
Start your first steps of total quitting and path towards smoke free life   .
While some smokers successfully quit by going cold turkey, most people prefer to plan and keep themselves on track. A good plan addresses both the short-term challenge of quitting smoking and the long-term challenge of preventing relapse. You also need to be tailored to your specific needs and smoking habits.",3,1,3,-1,2,0
ROUND-3-182-BOT,3,182,BOT,quit smoking,"Not sure how to quit smoking cigarettes? Try our guide of 20+ ways to stop smoking and start your path towards a healthier, smoke-free life.
Make an honest list of all the things you like about smoking. Draw a line down the center of a piece of paper and write them on one side; on the other side make a list of all the things you dislike, such as how it can interfere with your health, work, family, etc., suggests Daniel Z. Lieberman, M.D., director of the lung cancer Research Center at George Washington University in Washington, D.C.
this is your first step to quit smoking and stopping use cigarettes
Quitting smoking is not easy but possible! Quitting smoking is difficult, but not impossible. When the negative side outweighs the positive side, you are ready to quit and be a non-smoker, again. :)",2,2,1,3,2,0
ROUND-3-182-0KKNZV,3,182,0KKNZV,quit smoking,"Smoking cessation is the process of discontinuing tobacco smoking, which is addictive. Nicotine withdrawal makes the process of quitting often very prolonged and difficult stopping smoking represents the single most important step that smokers can take to enhance the length and quality of their lives and stay none-smokers. Quitting smoking is difficult taking a break from a daily Cigarettes usage is tough, but not impossible. If you'd like to give up smoking, but don't know where to begin, create a structured plan. The following steps will help you to create your own customized quit plan: Pick a Quit Date. Let Loved Ones Know You Are Quitting. Remove Reminders of Smoking such as cigarettes and matches. Identify Your Reasons to Quit Smoking - bad smell, cancer, health problems, etc. So just try it and start your path towards a healthier, smoke-free life",2,3,2,-1,-1,0
ROUND-4-182-ZQ22RB,4,182,ZQ22RB,quit smoking,"Not sure how to quit smoking cigarettes? Try one of these 20+ ways to stop smoking and start your path towards a healthier, smoke-free life.
Make an honest list of all the things you like about smoking.
Draw a line down the center of a piece of paper and write them on one side; on the other side make a list of all the things you dislike, such as how it can interfere with your health, work, family, etc., suggests Daniel Z. Lieberman, M.D., director of the Clinical Psychiatric Research Center at George Washington University Medical Center in Washington, D.C. Think about the list over time, and make changes. If you are brave enough, get feedback from family and friends about things they donate like about your use of cigarettes. When the negative side outweighs the positive side, you are ready to quit.",3,3,4,1,1,0
ROUND-4-182-DUMMY_1,4,182,DUMMY_1,quit smoking,"Stop smoking cigarettes is difficult but not impossible. If you'd like to give up smoking,  but don't know where to begin, create a structured plan.
The following steps will help you to create your own customized quit plan:
Pick a Quit Date.
Let Loved Ones Know You Are Quitting.
Remove Reminders of Smoking such as cigarettes and matches.
Identify Your Reasons to stop Smoking:  bad smell, cancer, health problems, etc.
Think of a place or a person the you can go to in case you need help.",2,3,3,1,0,-1
ROUND-4-182-DUMMY_2,4,182,DUMMY_2,quit smoking,"Want to quit smoking? Ready to drop your cigarettes?
This is your first step of quitting smoke and of making the use of nicotine to history.
While some smokers successfully quit by going cold turkey, most people prefer to plan and keep themselves on track.
quitting smoke can be tough. But the more you learn about your options and prepare for quitting, the easier the process will be.
To have the best chance of quitting and staying a non-smoker, you need to know what your options are, and where to go for help.
You also need to be tailored to your specific needs and smoking habits.
You’ll find all this information here.",1,3,5,-2,-3,0
ROUND-4-182-BOT,4,182,BOT,quit smoking,"Not sure how to quit smoking cigarettes? Try our guide of 20+ ways to stop smoking and start your path towards a healthier, smoke-free life.
Make an honest list of all the things you like about smoking. Draw a line down the center of a piece of paper and write them on one side; on the other side make a list of all the things you dislike, such as how it can interfere with your health, work, family, etc., suggests Daniel Z. Lieberman, M.D., director of the lung cancer Research Center at George Washington University in Washington, D.C.
this is your first step to quit smoking and stopping use cigarettes
Quitting smoking is not easy but possible! Quitting smoking is difficult, but not impossible. When the negative side outweighs the positive side, you are ready to quit and be a non-smoker, again. :)",3,3,1,0,3,2
ROUND-4-182-0KKNZV,4,182,0KKNZV,quit smoking,"Smoking cessation is the process of discontinuing tobacco smoking, which is addictive. Nicotine withdrawal makes the process of quitting often very long and difficult. Giving up smoking is difficult taking a break from a daily Cigarettes usage is tough, but not impossible it is necessary in order to enhance the length and quality of your life and stay none-smokers. Daniel Z. Lieberman, M.D., director of the lung cancer Research Center at George Washington says whiten 72 hours of not smoking your entire body is 100% free nicotine, Breathing is becoming easier and your lung's functional abilities are improving. Whiten the 2-4 weeks Blood circulation in your gums and teeth are now similar to that of a non-user, Cessation related anger, anxiety, difficulty concentrating, impatience, insomnia, restlessness and depression have ended, Your heart attack risk has started to drop, Your lung function has noticeably improved. Quitting smoking is not easy but possible!",3,0,2,0,-1,-1
ROUND-1-177-N1K1XQ,1,177,N1K1XQ,best long term care insurance,"At PrimeCareInsurance.com you will find majority of insurance policies sold today and quality, supreme offers of long term care insurance starting with: $70-per-day premium provider. Low Cost: $50 per day. High Cost: $3,446 per day. Average Cost of long term care insurance (with preferred health discount): $1,720-per-day Age 50, standard health rate. Initial benefit of $150 and 3 year benefit period. Coverage will increase annually. Nursing long term care insurance costs 70% higher if your age is above 70. Long Term Care Insurance Rates for Couple Both Age 50 Average Cost: $2,466-per-day (combined) Low Cost: $2,080 High Cost: $4,824 Both individuals are age 50, standard health rate. Initial policy benefit for EACH is $164,000 based on a Daily benefit of $150 and 3 year benefit period. Coverage value will increase annually because a 3 percent compound inflation growth included. Medicare long term care insurance saves many people.",1,3,2,0,0,0
ROUND-1-177-DUMMY_1,1,177,DUMMY_1,best long term care insurance,"Home care: can be given in your own home by family, friends, volunteers, and/or paid professionals. This type of care can range from help with shopping to nursing care.
Community services: are support services that can include adult day care, meal programs, senior centers, transportation.
Supportive housing programs: offer low-cost housing to older people with low to moderate incomes. The Federal Department of Housing and Urban Development (HUD) and State or local governments often develop such housing programs.
Assisted living: provides 24-hour supervision, assistance, meals, and health care services in a home-like setting.
Continuing care retirement communities: provide a full range of services, usually is provided in one of three main stages: independent living, assisted living, and skilled nursing.
Nursing homes: offer care to people who cannot be cared for at home or in the community. Provide skilled nursing care, rehabilitation services, meals, activities, help with daily living, and supervision.",0,0,5,0,0,0
ROUND-1-177-BOT,1,177,BOT,best long term care insurance,"Supportive housing programs offer low-cost housing to older people with low to moderate incomes. The Federal Department of Housing and Urban Development (HUD) and State or local governments often develop such housing programs. A number of these facilities offer help with meals and tasks such as housekeeping, shopping, and laundry. Residents generally live in their own apartments. Continuing care retirement communities (CCRCs) provide a full range of services and care based on what each resident needs over time. Care usually is provided in one of three main stages: independent living, assisted living, and skilled nursing. Health insurance and medical assistance often only cover a small portion of the expense of a nursing facility, which is why long-term care insurance is particularly important.",3,1,3,0,0,0
ROUND-1-177-DUMMY_2,1,177,DUMMY_2,best long term care insurance,"Unlike traditional health insurance, long-term care insurance (LTC or LTCI) is designed to cover long-term services and supports, including personal and custodial care in a variety of settings such as your home, a community organization, or other facility. long-term care insurance policies reimburse policyholders a daily amount (up to a pre-selected limit) for services to assist them with activities of daily living such as bathing, dressing, or eating. You can select a range of care options and benefits that allow you to get the services you need, where you need them.",2,3,4,0,0,0
ROUND-1-177-0V2RWW,1,177,0V2RWW,best long term care insurance,"Long term care insurance cover costs associated with a long term illness or disability. That might include assisted living, at-home care, or nursing home expenses. These things typically aren't covered by regular health insurance wich makes getting one critical. Otherwise, extended care can take a toll on your pocket and tou may even find yourself without a way to pay for the help you need in the future. Like all insurances its highly personal and you need to find coverage that fits your individual circumstances and needs. Because of this, it's best to get quotes from a few companies and compare the coverage options that matter most to you and their prices.",3,1,1,0,0,0
ROUND-2-177-N1K1XQ,2,177,N1K1XQ,best long term care insurance,"Long term care insurance cover costs associated with a long term illness or disability. That might include assisted living, at-home care, or nursing home expenses. These things typically arent covered by regular health insurance which makes getting one critical. Otherwise, extended care can take a lot of money and may even find yourself without a way to pay for the help you need in the future. Like all insurances, its highly personal and you need to find coverage that fits your individual circumstances and needs.  At PrimeCareInsurance.com you will find the majority of insurance policies sold today and quality, supreme offers of long term care insurance starting with $70-per-day premium provider. Low Cost: $50 per day. High Cost: $3,446 per day. Average Cost of long term care insurance (with preferred health discount): $1,720-per-day Age 50, standard health rate.",2,1,1,1,0,0
ROUND-2-177-DUMMY_1,2,177,DUMMY_1,best long term care insurance,"Supportive housing programs offer low-cost housing to older people with low to moderate incomes. The Federal Department of Housing and Urban Development (HUD) and State or local governments often develop such housing programs. A number of these facilities offer help with meals and tasks such as housekeeping, shopping, and laundry. Residents generally live in their own apartments.
Assisted living provides 24-hour supervision, assistance, meals, and health care services in a home-like setting.
Nursing homes offer care to people who cannot be cared for at home or in the community. They provide skilled nursing care, rehabilitation services, meals, activities, help with daily living, and supervision. Some offer temporary or periodic care.
Continuing care retirement communities (CCRCs) provide a full range of services and care based on each resident needs over time. Care usually is provided in one of three main stages: independent living, assisted living, and skilled nursing.",3,2,5,0,0,0
ROUND-2-177-BOT,2,177,BOT,best long term care insurance,"Supportive housing programs offer low-cost housing to older people with low to moderate incomes. The Federal Department of Housing and Urban Development (HUD) and State or local governments often develop such housing programs. A number of these facilities offer help with meals and tasks such as housekeeping, shopping, and laundry. Long term care insurance cover costs associated with a long term illness or disability. Continuing care retirement communities (CCRCs) provide a full range of services and care based on what each resident needs over time. Care usually is provided in one of three main stages: independent living, assisted living, and skilled nursing. Health insurance and medical assistance often only cover a small portion of the expense of a nursing facility, which is why long-term care insurance is particularly important.",3,1,3,0,0,0
ROUND-2-177-DUMMY_2,2,177,DUMMY_2,best long term care insurance,Long-term-care insurance can help pay for the assistance you might need if you become ill or disabled in the future. But recent trends in the industry might be cause for concern for both current policyholders and potential ones. Insurers are exiting the market or raising rates because they overestimated how many people would stop paying for their policies over time and underestimated the costs of long-term care. And low interest rates have made it difficult to grow the reserves they need on hand to pay claims,1,3,4,0,0,0
ROUND-2-177-0V2RWW,2,177,0V2RWW,best long term care insurance,"Long term care insurance cover costs associated with a long term illness or disability. That might include assisted living, at-home care, or nursing home expenses. These things typically aren't covered by regular health insurance wich makes getting one critical. Otherwise, extended care can take a toll on your pocket and tou may even find yourself without a way to pay for the help you need in the future. Like all insurances its highly personal and you need to find coverage that fits your individual circumstances and needs. Because of this, it's best to get quotes from a few companies and compare the coverage options that matter most to you and their prices.",3,1,2,-1,0,0
ROUND-3-177-N1K1XQ,3,177,N1K1XQ,best long term care insurance,"Long term care insurance cover costs associated with a long term illness or disability. That might include assisted living, at-home care, or nursing home expenses. These things typically arent covered by regular health insurance which makes getting one critical. Otherwise, extended care can take a lot of money and may even find yourself without a way to pay for the help you need in the future. Like all insurances, its highly personal and you need to find coverage that fits your individual circumstances and needs.  At PrimeCareInsurance.com you will find the majority of insurance policies sold today and quality, supreme offers of long term care insurance starting with $70-per-day premium provider. Low Cost: $50 per day. High Cost: $3,446 per day. Average Cost of long term care insurance (with preferred health discount): $1,720-per-day Age 50, standard health rate.",2,1,1,0,1,0
ROUND-3-177-DUMMY_1,3,177,DUMMY_1,best long term care insurance,"Supportive housing programs offer low-cost housing to older people with low to moderate incomes. The Federal Department of Housing and Urban Development (HUD) and State or local governments often develop such housing programs. A number of these facilities offer help with meals and tasks such as housekeeping, shopping, and laundry. Residents generally live in their own apartments.
Assisted living provides 24-hour supervision, assistance, meals, and health care services in a home-like setting.
Nursing homes offer care to people who cannot be cared for at home or in the community. They provide skilled nursing care, rehabilitation services, meals, activities, help with daily living, and supervision. Some offer temporary or periodic care.
Continuing care retirement communities (CCRCs) provide a full range of services and care based on each resident needs over time. Care usually is provided in one of three main stages: independent living, assisted living, and skilled nursing.",2,2,5,0,0,0
ROUND-3-177-BOT,3,177,BOT,best long term care insurance,"Supportive housing programs offer low-cost housing to older people with low to moderate incomes. Long term care insurance cover costs associated with a long term illness or disability. A number of these facilities offer help with meals and tasks such as housekeeping, shopping, and laundry. Long term care insurance cover costs associated with a long term illness or disability. Continuing care retirement communities (CCRCs) provide a full range of services and care based on what each resident needs over time. Care usually is provided in one of three main stages: independent living, assisted living, and skilled nursing. Health insurance and medical assistance often only cover a small portion of the expense of a nursing facility, which is why long-term care insurance is particularly important.",2,2,3,0,0,0
ROUND-3-177-DUMMY_2,3,177,DUMMY_2,best long term care insurance,"If you are not coming from a rich family, that's ok, you can still guarantee a state of the art, most fine professional care coverage program for your distant future and entire life in a limited budget. Long-term-care insurance can help pay for the assistance you might need if you become ill or disabled in the future. But recent trends in the industry might be cause for concern for both current policyholders and potential ones. Insurers are exiting the market or raising rates because they overestimated how many people would stop paying for their policies over time and underestimated the costs of long-term care.",0,0,4,0,0,0
ROUND-3-177-0V2RWW,3,177,0V2RWW,best long term care insurance,"Long term care insurance cover costs associated with a long term illness or disability. That might include assisted living, at-home care, or nursing home expenses. These things typically aren't covered by regular health insurance wich makes getting one critical. Otherwise, extended care can take a toll on your pocket and tou may even find yourself without a way to pay for the help you need in the future. Like all insurances its highly personal and you need to find coverage that fits your individual circumstances and needs. Because of this, it's best to get quotes from a few companies and compare the coverage options that matter most to you and their prices.",3,1,2,0,-1,0
ROUND-4-177-N1K1XQ,4,177,N1K1XQ,best long term care insurance,"Long term care insurance cover costs associated with a long term illness or disability. That might include assisted living, at-home care, or nursing home expenses. These things typically arent covered by regular health insurance which makes getting one critical. Otherwise, extended care can take a lot of money and may even find yourself without a way to pay for the help you need in the future. Like all insurances, its highly personal and you need to find coverage that fits your individual circumstances and needs.  At PrimeCareInsurance.com you will find the majority of insurance policies sold today and quality, supreme offers of long term care insurance starting with $70-per-day premium provider. Low Cost: $50 per day. High Cost: $3,446 per day. Average Cost of long term care insurance (with preferred health discount): $1,720-per-day Age 50, standard health rate.",2,1,2,-1,-1,0
ROUND-4-177-DUMMY_1,4,177,DUMMY_1,best long term care insurance,"Get the latest reviews on the country's top Long Term Care insurance services. We rate the best Long Term Care services to give you a better look into what each company offers.
Here is The 10 Best Long Term Care (LTC) Insurances:
[1] Mutual of Omaha - •Solid financial ratings •Spouse Security Benefit option •Calendar based elimination period.
[2] New York Life - •Inflation protection •Lifetime Maximum Benefit •Low premiums.
[3] MassMutual - •Tax qualified plans, •Solid financial ratings, •6 year maximum benefit period.
[4] Northwestern Mutual - •Tax qualified plans •Solid financial ratings •Group plans available (CareChoice) •Above average premiums.
[5] StateFarm - •Comprehensive plans •A++ AM Best Rating •No group option •10 year maximum benefit.
We can also recommend:
Group Health Insurance Plan (provides healthcare coverage),
Medicare (U.S. federal health program),
Activities of Daily Living - ADL,
Custodial Care (Non-medical care),
Federal Poverty Level - FPL,
Medicaid (joint federal and state program)",1,2,1,4,4,4
ROUND-4-177-BOT,4,177,BOT,best long term care insurance,"Long term care insurance cover costs associated with a long term illness or disability. Long term care insurance cover costs associated with a long term illness or disability. A number of these facilities offer help with meals and tasks such as housekeeping, shopping, and laundry. Long term care insurance cover costs associated with a long term illness or disability. Continuing care retirement communities (CCRCs) provide a full range of services and care based on what each resident needs over time. Care usually is provided in one of three main stages: independent living, assisted living, and skilled nursing. Health insurance and medical assistance often only cover a small portion of the expense of a nursing facility, which is why long-term care insurance is particularly important.",2,2,3,0,0,0
ROUND-4-177-DUMMY_2,4,177,DUMMY_2,best long term care insurance,"If you are not coming from a rich family, that's ok, you can still guarantee a state of the art, most fine professional care coverage program for your distant future and entire life in a limited budget. Long-term-care insurance can help pay for the assistance you might need if you become ill or disabled in the future. But recent trends in the industry might be cause for concern for both current policyholders and potential ones. Insurers are exiting the market or raising rates because they overestimated how many people would stop paying for their policies over time and underestimated the costs of long-term care.",0,0,5,-1,-1,-1
ROUND-4-177-0V2RWW,4,177,0V2RWW,best long term care insurance,"Long term care insurance cover costs associated with a long term illness or disability. That might include assisted living, at-home care, or nursing home expenses. These things typically aren't covered by regular health insurance wich makes getting one critical. Otherwise, extended care can take a toll on your pocket and tou may even find yourself without a way to pay for the help you need in the future. Like all insurances its highly personal and you need to find coverage that fits your individual circumstances and needs. Because of this, it's best to get quotes from a few companies and compare the coverage options that matter most to you and their prices.",3,1,4,-2,-2,-3
ROUND-1-195-DUMMY_1,1,195,DUMMY_1,pressure washers,"Pressure Washers are a 'Must-Have' Multi-Purpose cleaning tool for every home owner!

Pressure washers (or power washers) easily clean decks, patios, driveways, siding, sheds, outdoor power equipment and more.

We supply performance-oriented pressure washers in a range of different sizes, configurations and horsepowers.
As well as all the accessories and connectors you need to hit the ground spraying.

We carry Gas Power Washers as well as Electric Pressure Washers in sizes that can handle any project and can handle even the toughest jobs.

Our inventory includes washers flow rate of  1 – 5 GPM and pressure of 1000 – 3500 PSI.

We have all the top brands for you including Karcher, Generac and even Simpson.

All in addition to replacement and extension hoses, quick disconnect adapters, spray guns and nozzles, pressure regulators and crankcase oil.
Not to mention a wide range of spray tips and power wash concentrates.",0,3,2,0,0,0
ROUND-1-195-BOT,1,195,BOT,pressure washers,"Pressure Washers can be found both for commercial users and private users, offering a line of powerful, performance-oriented pressure washers in a range of different sizes, configurations and horsepowers.
One can choose an electric powered washer or a gas powered washer, a cold water residential pressure washer or a hot water commercial washer.
Hazy windows, dirty floors, muddy cars and even grease covered pallets, from the simplest to the toughest job, a pressure washer can handle them all.
Replacement hoses, extension hoses, quick disconnect adapters, spray guns and nozzles, pressure regulators and crankcase oil, spray tips and power wash concentrates will make your pressure washer suitable for every mission.",1,0,5,0,0,0
ROUND-1-195-DUMMY_2,1,195,DUMMY_2,pressure washers,"pressure washers! Because living Out Here, there's no end to the ways we put ours to use. That's why Tractor Supply carries a full line of powerful, performance-oriented pressure washers in a range of different sizes, configurations and horsepowers. As well as all the accessories and connectors you need to hit the ground spraying. We carry cold water residential pressure washers in sizes that can handle any project on your list – from 1700 PSI at 1.8 GPM all the way up to 4200 PSI at 4.0 GPM. And commercial hot water skid mount units that can handle even the toughest jobs. All in addition to replacement and extension hoses, quick disconnect adapters, spray guns and nozzles, pressure regulators and crankcase oil. Not to mention a wide range of spray tips and power wash concentrates.  You are welcome to search us on Wikipedia: pressure washers.",0,2,1,0,0,0
ROUND-1-195-ROMJQN,1,195,ROMJQN,pressure washers,"Kircher Pressure Washer Spare Parts and Accessories
Your Kircher pressure washer is a serious piece of gardening gear, and we are serious about providing all the genuine Kircher pressure washer spares you will ever need. To find the right Kircher parts for your pressure washer, simply select your model from the list to see our complete selection for your machine.
We are an approved Kircher dealer, so we also have great deals on new Kircher pressure washers.",0,3,4,0,0,0
ROUND-1-195-5J5M18,1,195,5J5M18,pressure washers,"Pressure washing or power washing is the use of high-pressure water spray to remove loose paint, mold,
grime, dust, mud, dirt from surfaces and objects such as buildings, vehicles and concrete.
This high-pressure water spray technique often uses ""pressure washers"" or ""power washers"".
There're multiply brands (Amazon.com gardening.com Home-Depot.com that offer premium ""Pressure Washers"" & ""Pressure Washer Accessories""), reviews (electric pressure washer for most homeowners, gas pressure washer for power users, motor warranty, best value) and buying guides (pressure washer with the highest GPM at the PSI, deck-1500 PSI, car-2000 PSI, most pressure washers have adjustable nozzles).",1,2,3,0,0,0
ROUND-2-195-DUMMY_1,2,195,DUMMY_1,pressure washers,"Pressure Washers are a 'Must-Have' Multi-Purpose cleaning tool for every home owner! Pressure washers (or power washers) easily clean decks, patios, driveways, siding, sheds, outdoor power equipment and more. We supply performance-oriented pressure washers in a range of different sizes, configurations and horsepowers. As well as all the accessories and connectors you need to hit the ground spraying. We carry Gas Power Washers and Electric Pressure Washers in sizes that can handle any project and can handle even the toughest jobs. Our inventory includes washers flow rate of  1 – 5 GPM and pressure of 1000 – 3500 PSI. We have all the top brands for you including Karcher, Generac and even Simpson. All in addition to replacement and extension hoses, quick disconnect adapters, spray guns and nozzles, pressure regulators and crankcase oil. Not to mention a wide range of spray tips and power wash concentrates.",0,3,1,1,0,0
ROUND-2-195-BOT,2,195,BOT,pressure washers,"Pressure Washers can be found both for commercial users and private users, offering a line of powerful, performance-oriented pressure washers in a range of different sizes, configurations and horsepowers.
One can choose an electric powered washer or a gas powered washer, a cold water residential pressure washer or a hot water commercial washer.
This high-pressure water spray technique often uses ""pressure washers"" or ""power washers"".
Replacement hoses, extension hoses, quick disconnect adapters, spray guns and nozzles, pressure regulators and crankcase oil, spray tips and power wash concentrates will make your pressure washer suitable for every mission.",3,0,4,1,0,0
ROUND-2-195-DUMMY_2,2,195,DUMMY_2,pressure washers,"pressure washers! Because living Out Here, there's no end to the ways we put ours to use. That's why Tractor Supply carries a full line of powerful, performance-oriented pressure washers in a range of different sizes, configurations and horsepowers. As well as all the accessories and connectors you need to hit the ground spraying. We carry cold water residential pressure washers in sizes that can handle any project on your list – from 1700 PSI at 1.8 GPM all the way up to 4200 PSI at 4.0 GPM. And commercial hot water skid mount units that can handle even the toughest jobs. All in addition to replacement and extension hoses, quick disconnect adapters, spray guns and nozzles, pressure regulators and crankcase oil. Not to mention a wide range of spray tips and power wash concentrates.  You are welcome to search us on Wikipedia: pressure washers.",0,2,2,-1,0,0
ROUND-2-195-ROMJQN,2,195,ROMJQN,pressure washers,"Kircher Pressure Washer Spare Parts and Accessories
Your Kircher pressure washer is a serious piece of gardening gear, and we are serious about providing all the genuine Kircher pressure washer spares you will ever need. To find the right Kircher parts for your pressure washer, simply select your model from the list to see our complete selection for your machine.
We are an approved Kircher dealer, so we also have great deals on new Kircher pressure washers.",0,3,3,1,0,0
ROUND-2-195-5J5M18,2,195,5J5M18,pressure washers,"Tractor Supply carries a full line of powerful, performance-oriented pressure washers in a range of different sizes, configurations and horsepowers. As well as all the accessories and connectors you need to hit the ground spraying. We carry cold water residential pressure washers in sizes that can handle any project on your list - from 1700 PSI at 1.8 GPM all the way up to 4200 PSI at 4.0 GPM. And commercial hot water skid mount units that can handle even the toughest jobs. All in addition to replacement and extension hoses, quick disconnect adapters, spray guns and nozzles, pressure regulators and crankcase oil. For more details on our pressure washers search us on Amazon, Google or Wikipedia.",3,2,5,-2,0,0
ROUND-3-195-DUMMY_1,3,195,DUMMY_1,pressure washers,"Pressure Washers are a 'Must-Have' Multi-Purpose cleaning tool for every home owner! Pressure washers (or power washers) easily clean decks, patios, driveways, siding, sheds, outdoor power equipment and more. We supply performance-oriented pressure washers in a range of different sizes, configurations and horsepowers. As well as all the accessories and connectors you need to hit the ground spraying. We carry Gas Power Washers and Electric Pressure Washers in sizes that can handle any project and can handle even the toughest jobs. Our inventory includes washers flow rate of  1 – 5 GPM and pressure of 1000 – 3500 PSI. We have all the top brands for you including Karcher, Generac and even Simpson. All in addition to replacement and extension hoses, quick disconnect adapters, spray guns and nozzles, pressure regulators and crankcase oil. Not to mention a wide range of spray tips and power wash concentrates.",0,3,1,0,1,0
ROUND-3-195-BOT,3,195,BOT,pressure washers,"Pressure Washers can be found both for commercial users and private users, offering a line of powerful, performance-oriented pressure washers in a range of different sizes, configurations and horsepowers.
One can choose an electric powered washer or a gas powered washer, a cold water residential pressure washer or a hot water commercial washer.
This high-pressure water spray technique often uses ""pressure washers"" or ""power washers"".
We carry Gas Power Washers and Electric Pressure Washers in sizes that can handle any project and can handle even the toughest jobs.",0,0,4,0,1,0
ROUND-3-195-DUMMY_2,3,195,DUMMY_2,pressure washers,"pressure washers are Tractor Supply carries a full line of powerful, performance-oriented pressure washers in a range of different sizes, configurations and horsepowers. As well as all the accessories and connectors you need to hit the ground spraying. We carry cold water residential pressure washers in sizes that can handle any project on your list – from 1700 PSI at 1.8 GPM all the way up to 4200 PSI at 4.0 GPM. And commercial hot water skid mount units that can handle even the toughest jobs. All in addition to replacement and extension hoses, quick disconnect adapters, spray guns and nozzles, pressure regulators and crankcase oil. Not to mention a wide range of spray tips and power wash concentrates.  You are welcome to search us on Wikipedia: pressure washers.",2,2,2,0,-1,0
ROUND-3-195-ROMJQN,3,195,ROMJQN,pressure washers,"Kircher Pressure Washer Spare Parts and Accessories
Your Kircher pressure washer is a serious piece of gardening gear, and we are serious about providing all the genuine Kircher pressure washer spares you will ever need. To find the right Kircher parts for your pressure washer, simply select your model from the list to see our complete selection for your machine.
We are an approved Kircher dealer, so we also have great deals on new Kircher pressure washers.",0,3,5,-2,-1,0
ROUND-3-195-5J5M18,3,195,5J5M18,pressure washers,"Pressure Washers are a  Multi-Purpose cleaning tool for every home. Pressure washers (or power washers) clean decks, patios, driveways, siding, sheds and outdoor power equipment. We supply performance-oriented pressure washers in a range of different sizes, configurations and horsepowers. And also all the accessories and connectors you need to hit the ground spraying. We carry Gas Power Washers and Electric Pressure Washers in sizes that can handle any project and can handle even the toughest jobs. Our inventory includes washers flow rate of 1 - 5 GPM and pressure of 1000 - 3500 PSI. We have all the top brands for you including Karcher, Generac and even Simpson. All in addition to replacement and extension hoses, quick disconnect adapters, spray guns and nozzles, pressure regulators and crankcase oil. Not to mention a wide range of spray tips and power wash concentrates.",0,3,3,2,0,0
